text,type,source,title,category,label
“光复香港，时代革命”最早是由香港本土派活动人士梁天琦所提出的社会运动口号。梁天琦主张香港独立运动和本土自决，认为香港是一个国家、香港人属于同一个群体，并希望能够凝聚香港人的“内在力量”。原本梁天琦在宣布参加香港立法会新界东地方选区补选的记者会上，新闻稿提出的选举口号是“知行合一，世代革新”。不过梁天琦等人认为这个口号无法吸引到选民投票，立场部分亦不够鲜明，因而在2016年1月底构思新的选举口号。 “光复”一词可追溯至辛亥革命时之光复会，以及国共战争后中华民国政府力求光复大陆。而用在香港本土运动最早是2012年光复上水站。选举口号中使用“光复”一词，提醒选民本土民主前线是借由街头抗争，争取香港人应有权利的抗争者。在“时代革命”或“世代革命”的用词选择上，梁天琦最后决定以“时代革命”作为选举口号，以强调革新与改变是不同年龄者都可以参与的行动，其只需要人们相信且拥抱自由，所以不会是“世代之争”。,news,CDS,CDS专页：光复香港，时代革命,democracy,sensitive
2019年，香港出现一系列反对《逃犯条例》修订草案的运动，普遍称为香港反送中运动。示威者陆续在沙田区、大埔区等地的连侬墙，张贴“光复香港，时代革命”的标语，有时旁边还会写上“感谢梁天琦”等字句。随着运动的升级，“光复香港，时代革命”在游行示威中被大量使用、传播，最终成为运动里最有代表性的口号。,news,CDS,CDS专页：光复香港，时代革命,democracy,sensitive
2019年8月5日，抗争者发起全港“三罢”及“七区集会”，林郑月娥于当日谴责有示威者提出“光复香港，时代革命”口号是“搞革命”和“挑战国家主权”。对此有多个民间团体认为林郑月娥的言论是抹黑和将反送中运动贴上“港独”标签,news,CDS,CDS专页：光复香港，时代革命,democracy,sensitive
2019年8月9日至11日，在香港国际机场一连三日的“万人接机”活动中，有人于机场其中一条步入离境大堂的通道上，挂起写有“光复香港 时代革命”的条幅[35]，获在场人士报以欢呼及掌声支持，多次高呼“光复香港 时代革命”口号。,news,CDS,CDS专页：光复香港，时代革命,democracy,sensitive
"如果现在是新冷战时期的话，那么香港就是新的柏林。香港反抗运动的领袖之一黄之锋在周一晚上在柏林的演讲中说，以此警示开始了他对德国和美国的这一程访问。根据访问计划，他还将在柏林墙遗址发表演讲--历史与现实的交汇，这将成为柏林墙倒塌三十周年纪念中最重要的活动之一。对于很多德国人来说，柏林墙和冷战已经是过时的历史名词。尽管""反思历史""仍然活跃在当下的话语中，然而人们真正有兴趣的纪念，不过是作为胜利者的庆典而已。让那些痛苦而危险的历史，成为影视作品中的娱乐材料和抒情片段吧。然而，我不得不说，黄之锋的判断是正确的，他的警示正当其时。如果有什么要补充的话，我则要说，这场所谓的新冷战，事实上是旧冷战的延续。在中国政府的眼中，从""帝国主义亡我之心不死""到""西方敌对势力煽动颠覆""，冷战从来没有结束",news,CDS,新冷战：21世纪的柏林墙,democracy,sensitive
【大纪元2021年03月27日讯】（大纪元记者李辰美国弗吉尼亚州报导）2003年1月10日，中国辽宁省女子监狱。三监区二楼的一个小仓库里，三个打手将王春彦打倒在地。两股电线被拧成一根粗铁线。两人按着她的背，一人用电线抽打。王春彦的后背鲜血淋漓。2021年3月23日晚，王春彦站在美国弗吉尼亚州斯波特夕法尼亚县（Spotsylvania County）政府的会议大厅里，以中共迫害法轮功的幸存者的身份作证。（斯波特夕法尼亚县政府会议视频截图）2021年3月23日晚，美国弗吉尼亚州。王春彦站在斯波特夕法尼亚县（Spotsylvania County）政府的会议大厅里，以中共迫害法轮功的幸存者的身份作证。此刻，她感慨万千，“强忍着眼中的泪水”。“我无法想像今天能够站在这里。挺幸运，又心酸。我差点被迫害致死，可能被强摘器官。”,news,epochtimes,一位中国流亡女商人向美政府作证的那一刻,government,sensitive
到北京上访的法轮功学员 被迫害致。王春彦说，“1999年9月26日，我到北京（为法轮功上访）。”王春彦的外贸公司年净收入可达百万元人民币。她由于过度操劳，落下一身病。修炼法轮功后，王春彦的严重失眠、类风湿关节炎、心脏病等疾病都好了。法轮功是以“真、善、忍”为原则的性命双修功法，包括五套功法动作，祛病健身效果神奇。中共迫害后，出于对政府的信任，千千万万法轮功学员想到了上访，向政府反映法轮功的真实情况。王春彦，也是其中一个。王春彦说，“我到了北京站后，去接我的两个人，都被迫害死了。一个叫陈真丽，一个叫孙莲霞。孙莲霞是大连市第一个被迫害致死的。孙莲霞和我，是一个学法组的（指阅读法轮功书籍）。她俩先到北京（上访）的，所以去接我。”,news,epochtimes,一位中国流亡女商人向美政府作证的那一刻,government,sensitive
3月27日，中共党媒继续称颂习近平的福建考察之行外，主要宣传基调开始转向外交层面。新华网置顶大头条发表特稿文章《共同扬起和平风帆——中国元首外交为世界稳定发展注入正能量》，帮习近平吹嘘所谓和平、文明对话的外交，面对国际关系的更大危局，中共党媒试图帮习近平解套、推责。然而，新华社的另一篇文章《外交部发言人宣布对美国、加拿大有关人员和实体实施制裁》，却彻底掀翻了中共虚假的和平、文明对话。中共的报复针对了美国国际宗教自由委员会主席曼钦、副主席伯金斯、加拿大联邦众议员庄文浩、众议院外委会国际人权小组委员会，并提出“有关方面认清形势，纠正错误”，“否则必将玩火自焚”。新华社特稿引用习近平的话说，“中国始终是世界和平的建设者、全球发展的贡献者、国际秩序的维护者”，但恰恰是中共在屡屡破坏和平、大规模实施不公平贸易和经济胁迫，一再颠覆国际秩序。中共政权对新疆、香港、西藏、内蒙、法轮功、“六四”、维权律师等的种种迫害，和故意隐瞒疫情的罪行早已表明，中共对善良的中国人都从未和平、文明过，怎能指望这样的政权在国际上和平、文明呢？中共报复了欧盟、报复了英国，又报复美国、加拿大，还要报复在中国的外资企业，中共又一次公开四面出击、与世界为敌，哪来的和平、文明？中共高层一再搞砸外交事务，也毫不掩饰一心要统治世界的企图，实际一直在“玩火自焚”。中共高层或许陷在不切实际的梦幻里不能自拔，或许现在是走投无路、骑虎难下，真以为靠虚假的强硬就能吓唬住各国吗？中共军报、《人民日报》还煞有介事地发表文章《聚焦备战打仗 提高训练质量》，硬生生地解读习近平3月24日视察武警第二机动总队的讲话，称“拉得出、上得去、打得赢”。习近平若真想打，就应该直接动员空军、海军，去武警部队谈备战，岂不似是而非？若真的有胆量，应该把航母舰队拉出去与美军航母对峙，把歼-20飞出去对峙美军的F-22或F-35。中共这一轮的假强硬，与中美会谈时的火爆演出仍然是一样的路数，耍戏完了之后，却不知如何收场。煽动民族主义并不能真正解套，毕竟外交关系变得更坏，中国经济将面临更严峻的困境，内循环恐怕会更早露馅，中共政权的存亡危机更迫在眉睫了。中共高层非要加速走上崩溃之路，谁能挡得住呢？中共的报复制裁，对西方各国应该算是一件好事，中共的报复并不能真正伤害到被针对的个人和团体，反倒成就了他们的荣耀，也应该令各国政府、民众更清醒了。指望与中共有限度合作的路其实走不通，指望中共政权转变成合乎规矩的国际事务参与者，属于天真的幻想。前美国国务卿蓬佩奥在2020年7月23日的演讲早就解释得一清二楚了，“自由世界必须战胜这一新的暴政”，才是唯一的出路。美国新政府、世界各国政府都清楚地看到了，川普在任美国总统时，中共为什么不敢如此嚣张？中共害怕川普政府更强有力的经济、科技和签证制裁，也怕川普政府追责中共隐瞒疫情，还怕川普政府进一步区分中共和中国，更怕川普政府不承认中共政权。这就是中共的真正软肋，各国政府该如何与中共政权打交道，清晰的策略就在眼前。中共的报复，对美国新政府更是一件好事。无论民主党、共和党如何分歧，无论哪些人拥戴川普、哪些人又讨厌他，但事实证明，川普对待中共的策略是正确、有效的。过去的两个月里，美国新政府似乎要寻找一条有别于川普的战略，还试图避免与中共的对抗、冲突，恰恰造成了中共高层的严重误判；美国还准备与中共在朝鲜、伊朗、气候等问题上合作，等于给了中共进一步挑衅美国的机会。拜登的战略忍耐对中共没能奏效，也无法换来新政府的片刻安宁。美国放弃了对中共的战略主动，等于把主动权拱手让给了中共。如今，美国和西方各国都该更清醒，与中共政权的对抗就是当今世界的主旋律，也是历史的必然。中共政权一次次拙劣的表演，不断给各国政府敲响了警钟，那其实是中共政权自我敲响的丧钟。一场还没有摆脱的大瘟疫似乎还不足以令所有人吸取深刻的教训，如今更大的现实又摆在了面前，这不仅关乎勇气、智慧，还关乎最基本的人性、善与恶、真与假，更关乎这一代人应该承载的真正使命。迷雾正在被拨开，在历史关键时刻的选择，将决定一个国家、民族的未来命运。,news,epochtimes,杨威：中共又四面出击 可知最后结局？,government,sensitive
"学者丹尼尔‧布卢门塔尔（Daniel Blumenthal）在他的新书《中国噩梦：一个衰败国家的野心》（The China Nightmare: The Grand Ambitions of a Decaying State）中，对中共独裁政权的运作和战略决策提出了一个明确的观点：“在采取行动之前，中国（中共）不仅对自身的强项和劣势进行评估，它也精心算计华盛顿的力量和意志。”布卢门塔尔专门讨论了在前任主席胡锦涛的领导下的中共外交。但是他的观点适用于上世纪80年代中期以来所有的中共领导人，可以说是自1972年时任总统理查德‧尼克松会见毛泽东之后的领导人。布卢门塔尔认为共产主义中国是一个非常脆弱的政体。我倾向于同意，只要一个自信和军事强大的美国有意愿反对中国的独裁者，并提供传统的、鼓舞人心的、保障个人自由的美国式领导，那么共产中国就确实是一个脆弱的政体。（请允许我自我宣传一下：参见拙作《来自地狱的鸡尾酒》（Cocktails From Hell）的中国章节）。一个莎士比亚式的提示：鼓舞人心的美国意志——这就是问题的关键。一个严重的摩擦在2021年3月暴露了出来：中共高级官员向拜登总统的政府展示了一次精心策划的外交蔑视和个人蔑视。这一幕发生在上周的美中高层会谈中。会谈（实际上是美国的“丢脸的惨败”）发生在阿拉斯加安克雷奇（Anchorage, Alaska）的美国国土上。因此，我把它称为阿拉斯加伏击，一种中共外交和信息战鸡尾酒。伏击——这不是一种策略吗？一位中共高级外交政策官员出人意料地向美国国务卿展示了，中共将从会谈中寻求战略优势。布卢门塔尔的洞察力有助于理解事件的前因后果。开场白应该限制在两分钟以内。美国国务卿安东尼‧布林肯（Antony Blinken）遵守了协议。但中央外事办公室主任杨洁篪发表了长达17分钟的长篇大论。长篇大论包括下面这些例子。杨说“美国必须改变自己的形象，停止在世界其它地方推进自己的民主”。（嘿，难道自由是具有掠夺性的吗？）他重复了冷战时期共产主义的论调，声称中共反对使用武力“推翻其它政权”，并指责美国使用暴力“屠杀其它国家的人民”。请记住，中共目前被指控在西部屠杀维吾尔人（是的，种族灭绝）。杨还提到了“黑人的命也是命”（BLM）运动，并声称“美国国内的许多人实际上对美国的民主缺乏信心”。事实上，杨在美国本土胡言乱语，却没有美国官员打断他，这可能加强了一些亚洲观众的“丢美国脸”的印象。杨的言辞也嘲弄了拜登政府那愚蠢的口号“美国回来了”。回到哪儿来了？这是一个好问题。“阿拉斯加伏击”推翻了《华盛顿邮报》吹捧的道德高调，以及民主党外交政策所推崇的（并且值得两党共同支持的）“软实力”。这个问题的正确答案：这一事件揭示了幼稚而又危险的华盛顿陈旧的外交政策又回来了。唉，拜登新版的陈旧外交政策的执行人，正是那群有嫌疑在2020年向“黑人的命也是命”和“安提法”（Antifa）的街头暴力磕头，纵容叛乱，向身份政治和取消文化让步的人。他们还利用了大媒体向公众散布“大谎言”，比如《纽约时报》的“1619年项目”，该项目谎称奴隶制是美国存在的基础。也许这种卑鄙的仇恨美国的论调和重弹共产党在冷战时期的谎言有助于击败前总统唐纳德‧川普（特朗普）。然而，拜登新版的拘泥习俗的政策执行人（是的，新版的）现在占据着权力的位置。所以按道理来说，他们有责任在人身安全上、经济上和体制上保卫美国和美国人。",news,epochtimes,中共阿拉斯加伏击的前因后果,government,sensitive
马来西亚的法轮功学员美莲8年来坚持向中共公检法部门打电话讲真相。近日，美莲向记者分享了一段电话录音，是她给吉林省蛟河市某派出所长的对话。该所长听了长达50分钟的真相电话。美莲说，她一般不会录音，该电话还有前面10分钟没有录音，是从劝三退开始录的，想为对方三退留个见证。电话中，美莲告诉他，给他打电话是因为追查国际上有他的名字，片区里法轮功学员被抓，作为所长是有责任的。希望同胞一定要用智慧去保护身边的法轮功学员，一定要做三退。因为举着拳头宣誓的时候，另外空间那个兽记、誓言是要兑现的。“20多年迫害过去了，人家偷驴的人把驴偷走了，马上大清算就来了，咱还在这个是组织里的，本身这个共产党在海外已经被认定为反人类罪、群体灭绝罪和酷刑罪的代表，而且整个这个党派定为‘犯罪集团’，就像黑帮老大，你是他的小兄弟、打手也好，他要犯事了个话呢，你肯定也逃脱不了。”“天象变化就是这么快。尽管你说养家糊口，你守住自己正义良知，枪口抬高一厘米，能有机会走入未来。那我今天给你起个名字叫平顺，那我帮你把这个当团队退了，老乡你愿意吗？”该所长表示，“我认真听了，我对你们（法轮功）没有不好的印象，觉得学员说得有道理。体制内的人不能说太多，做人都有自己的良心，‘人之初，性本善’。我听进去了，好好反思反思。”他坦承，“我头一次认真的听你们讲，以前给我打了很多电话我很烦感，因为啥呢？好比人跟人之间世界观、价值观不一样，立场观点不一样，兼听则明吧。”但他感觉一下子转不过弯。“我听你说话知道你没有私利，也不是图啥，也就是把你知道的观点讲一讲，让俺们明白明白。我也没出过国，生在东北长在东北，一辈子老守田园，当个官呢，局长也好，其实都是职业，人做事会有自己的思考的。你说的话我回去会好好思考的。”他说，“最重要的在于对世界的认知，我们每个人都是边成长边学习。我这么大岁数啥书没看过，你说的我也没反对你。你也懂，说白一句话，老妹儿，你说的话我能听进去了，这个事我听进去了。”紧接着，该警察与学员探讨法轮功佛法和佛教之间的区别，表示之前不理解，是因为在佛教书籍里没看到过。像神宗的师父是达摩祖师，不知道法轮功是属于哪一宗派？美莲劝他要不带任何观念地看一下《转法轮》。为啥世界上一百多个国家西人也学、洋人也学。你碰到法轮功学员问问他为啥这么迫害你还炼呢？这本书到底讲了啥？学员是不是按真善忍做事？美莲开玩笑说，“听您说话现在可能升官了，希望你保护善良的人，如果能熬到公安部长，可能迫害就停止了。神佛会保佑好人的。”警察接着问，“那当初为什么要反对法轮功啊？”美莲说，“在中国，不是稳定压倒一切嘛，任何一个群体任何一个人，哪个组织人多了它不害怕啊，更何况真善忍和共产党暴力谎言都是相反的，共产党能允许不同的声音吗？法轮功92年传出来，祛病健身，道德回升，口耳相传，上亿的人学炼。共产党具备了宗教的所有东西，那江泽民一看都学法轮功了，造谣法轮功自杀自焚的，那20多年了，为什么世界上任何一个地区没有？就是因为没有。又说法轮功组织严密，像我出国这么多年，其实很多学员都不认识，只知道公园几点炼功，就是提高心性做好人。”美莲又讲了很多时事，从缅甸军管到中国疫情，从新疆棉花到大巴车坠崖，还举了很多生活中的实例。她说，“我能看到中国发生的所有的事情，只是我们看到的版本和你们在中国看到的不一样，你只要去想就能知道哪些是谎言。你只要换一个正常人的思维思考，不要去跟着摇旗呐喊，你就会有一个美好的未来。”最后美莲对警察说，“守住正义良知，保护法轮功学员，真的有福报，常念法轮大法好真善忍好，拜拜！”对方一再说，“嗯，好！”“好！拜拜！”,news,epochtimes,法轮功学员讲真相 派出所长：听进去了,government,sensitive
出国八年，美莲给公检法人员打了八年的真相电话。一开始有点紧张（新学员不了解海外情况和迫害情况），但是没有恐惧，也没有怨恨，最怕他们不接电话。“那时候不接电话、骂人的、挂机的特别多，十个电话八个都会这样。不接不听、摔电话的。这二、三年情况越来越好，接听的多了。”她说，“我对中国人感同身受，是以我个人被欺骗的角度，到海外的感受，理解他们面临的和生活的困境，‘四座大山’每个人都有，都是这个体制内的受害者。”比如，在中国的麦当劳买个冰激凌3块钱人民币，在澳洲3毛钱，相当于1.5元，那时候有的人一个月真就挣1千块钱，用这种对比、比较，生活中的例子。在中国买房子花几百万、要贷款，孩子的上学，父母的医疗、养老（马上要推迟）。美莲会告诉公检法人员，“我来到海外生活在没有共产党执政的国家，和国内的最大区别就是生活压力小了，思想自由了。在国内生活压力很重。其实中国能不能好？中国五千年老祖宗留下的智慧、文化、资源，中国就应该是世界第一强国。可是共产党来了之后，把中国祸害成什么样子了？,news,epochtimes,法轮功学员讲真相 派出所长：听进去了,government,sensitive
“什么世界第二大经济体、可以平视世界了，都是吹的，像脱贫用嘴就行，中共党媒官媒想说啥说啥，老百姓就生活在中国梦里嘛。实际的生活是啥样？看看那些吃不起饭上不起学的，老少边区多少啊，看到太多谎言。“高官落马，那不就是你未来的路吗？文革结束，北京市公安局长刘传新第一个举枪自杀，还有810名警察和军官被拉到云南秘密枪决，以平民愤、给老干部交待，谁是替罪羊啊？本身从法律角度来讲，‘警察法’执行上级严重错误命令，你就个人承担责任。”据明慧网报导，通过法轮功学员讲真相，中共官员包括公安局长三退的也有，近年来不少法轮功学员的案件被退回，显示越来越多的公检法人员不愿再迫害法轮。“疫情期间，湖北黄岗有一个派出所长三退了。”她说，“我们打过紧急营救电话，就是同修刚刚被抓，人在派出所的时候，我们都是成宿打，一晚上打到第二天早上六点，让派出所所有的电话都响起来，同修被放的很多。”“这边警察撬门，这头同修电话打进去了。第二天警察说：别打了，一晚上接到300多个电话，（我）心脏病都犯了，正在去医院的路上呢。”追查国际网站2014年2月曾通报，山东省济南市历城区仲宫派出所非法抓捕法轮功学员柴迪云，警察米光亮敲诈勒索500万人民币。美莲说，“大意是‘你给我500万，我就把她放了。你懂的，这500万不都给我，还有局长上下打点……’那个录音电话我也参与了，追查国际要了该警察的账号，把追查通告直接发到派出所了，那个人马上把学员放了。”美莲表示，我们中国就是神州大地，神传文化，自古以来相信有神的，中共的无神论、共产党这种迫害就不想让人回归，它最终的目的就是毁灭人类，把人拉向地狱。这是共产党骨子里的东西，当然它对外不会去说，就是利用无神论和人们的短视把中国的传统文化破坏了，让人们都不信神，用金钱的利益，所有一切的做法、运动，都是把人拉向毁灭。“为什么现在三退的人那么多？因为你当初举着拳头宣誓，那你就归它管，生命就交给它了，给它当陪葬品了。现在三亿七千万多人退出中共党团队，相当于四个中国人中就有一个退出来了，可是我们希望中国更多的人能够觉醒。”她说。,news,epochtimes,法轮功学员讲真相 派出所长：听进去了,government,sensitive
来自新疆的美茹告诉大纪元记者，近期她家中父母卖房子，在办理迁户手续时被当地派出所强行索要她在海外的地址、电话、工作等个人信息。她说，“我的户口是落在父母的房子上的，现在父母年龄大了，想把房子卖掉。房子卖掉以后，买家要把户口迁进来，我的户口还在房子上，但派出所不给办迁出手续。买房人一再催促，因为孩子要上学。”“我提供户口本，房产证是我自己的名字，实际上把户口落到我自己的房子上，本身是很正常的手续，但是不行。”家中老人去派出所跑了三趟。“第一天不给办，就要我的电话、地址、工作，还有孩子的学校都要问。第二天又要我跟孩子拿着身份证现场拍照片传给他们。”美茹表示，有种被牵制的感觉。“这个事一来，我爸跟我一讲的时候，马上在国内的感受，就像石头压在心口一样，一宿都是，好像第二天就要来抓我一样。这种感觉二三天才淡化了。”美茹在国内曾被多次非法抓捕，在劳教所被铐在木板上遭受电击酷刑，非常痛苦。为躲避迫害，她带女儿出国读书，此前美茹是某大公司的高管。美茹出国后，社区人员多次到家中骚扰，问她的去向。这让美茹的母亲心中十分难过，一直哭泣：孩子走了，我们也不知道她去哪里，她不回来了……美茹告诉记者，新疆管理很严，办护照特别麻烦，要过好几道坎。“一般办护照去出入境管理处，新疆先要片警签字，再到派出所办手续，然后才能拿着这些资料才能去出入境办理。”“户口管理也是，过去是到派出所办户口，现在转到社区片警管理，相当于管理更严了。”美茹从劳教所出来后，当地社区书记要她每周去报到，后来片警定期、逢年过节都要打电话，问她在做什么？美茹心理压力很大，躲着不见他。时间长了（多年以后），片警没认出来她，也没查到犯罪信息，这才办理了护照。“我还有一个好朋友办了护照，也办了美国签证，就不让人离开新疆。新疆封闭很严，我在新疆时什么信息都听不到，网都上不去。”她说。她特别提到去年以来国内对法轮功的“清零行动”，在新疆全部的法轮功学员都被要求写“三书”，警方挨家挨户查一遍，只要有过记录的学员，不管之前转没转化都要再来一遍，学员被反复骚扰，被威胁绑架、送洗脑班、送看守所等。另一个案例发生在北京，该学员因为坚持法轮功信仰曾被判刑十年，后出国定居。不久前他的父母要把房子过户给他，当地警察同样要求他提供海外的地址、电话等个人信息才给过户。稍早，原山东法轮功学员李鹏告诉大纪元，今年“两会”期间，当地派出所打电话给她的家人，要求她回答三个问题：一是住在哪里？二是做什么工作？三是对国内的事情有什么看法？她觉得中共怎么管人住哪、做什么，还要管人想什么呢。广东一李姓学员表示，她也遇到了类似的情况。当地公安局给她的家人打电话，问她的住址和工作。该学员在国内是新学员，并没有被抓过，但到海外不久，派出所就找她家人问她的情况。,news,epochtimes,中共收集海外法轮功学员个人信息 被指违法,government,sensitive
