,text,source,label
349,白雪,cctv,sensitive
350,百家,cctv,sensitive
351,百度古董,cctv,sensitive
352,省委书记年轻化,cctv,sensitive
353,省市换班,cctv,sensitive
354,石占明,cctv,sensitive
355,社会公器,cctv,sensitive
356,祝均一,cctv,sensitive
357,神职,cctv,sensitive
358,秦裕,cctv,sensitive
359,程中将,cctv,sensitive
360,程宝山,cctv,sensitive
361,程宝山中将,cctv,sensitive
362,程翔,cctv,sensitive
363,笔记本,cctv,sensitive
364,第五代,cctv,sensitive
365,筹备,cctv,sensitive
366,筹备领导组,cctv,sensitive
367,线人,cctv,sensitive
368,经纬,cctv,sensitive
369,缺德,cctv,sensitive
370,罗明,cctv,sensitive
371,罢官筹委会,cctv,sensitive
372,罢扁,cctv,sensitive
373,羊倌,cctv,sensitive
374,羊皮狼,cctv,sensitive
375,老刀,cctv,sensitive
376,老友你好,cctv,sensitive
377,好文章别错过。,cctv,sensitive
378,老夫永乐,cctv,sensitive
379,老子,cctv,sensitive
380,肖副团长,cctv,sensitive
381,肖大校,cctv,sensitive
382,肖白,cctv,sensitive
383,胡恩,cctv,sensitive
384,苏显达,cctv,sensitive
385,蒙古,cctv,sensitive
386,蔡欢,cctv,sensitive
387,西单,cctv,sensitive
388,西坝河,cctv,sensitive
389,解说,cctv,sensitive
390,许万平,cctv,sensitive
391,诺夫,cctv,sensitive
392,谢燕益,cctv,sensitive
393,贩假,cctv,sensitive
394,贱翔,cctv,sensitive
395,赢盘,cctv,sensitive
396,赵化勇,cctv,sensitive
397,赵安,cctv,sensitive
398,赵岩,cctv,sensitive
399,赵建铭,cctv,sensitive
400,轻轻的一声祝福,cctv,sensitive
401,片片文章表心情。,cctv,sensitive
402,道歉,cctv,sensitive
403,遗珠,cctv,sensitive
404,邓天生,cctv,sensitive
405,那日贵,cctv,sensitive
406,邳州,cctv,sensitive
407,郑培民,cctv,sensitive
408,郑茂清,cctv,sensitive
409,重庆特钢,cctv,sensitive
410,重庆特钢厂,cctv,sensitive
411,重特钢,cctv,sensitive
412,重钢,cctv,sensitive
413,金人庆,cctv,sensitive
414,针孔,cctv,sensitive
415,陈瑞武,cctv,sensitive
416,雅昌,cctv,sensitive
417,霸道,cctv,sensitive
418,鞍山钢铁,cctv,sensitive
419,鞍钢,cctv,sensitive
420,韩乔生,cctv,sensitive
421,预审,cctv,sensitive
422,领事馆,cctv,sensitive
423,骗子,cctv,sensitive
424,高知,cctv,sensitive
425,魔兽,cctv,sensitive
426,鱼窝头镇,cctv,sensitive
427,黄健翔,cctv,sensitive
428,黄贱翔,cctv,sensitive
429,黎国如,cctv,sensitive
430,龙滩水电站,cctv,sensitive
431,武汉不明肺炎,covid2020,sensitive
432,武汉海鲜市场,covid2020,sensitive
433,沙士变异,covid2020,sensitive
434,爆發sars疫情,covid2020,sensitive
435,武汉卫生委员会,covid2020,sensitive
436,p4病毒实验室,covid2020,sensitive
437,病毒感染,covid2020,sensitive
438,疫情事件,covid2020,sensitive
439,肺炎病人,covid2020,sensitive
440,武汉流行肺炎,covid2020,sensitive
441,非典性肺炎,covid2020,sensitive
442,习近平到武汉,covid2020,sensitive
443,某人亲自,covid2020,sensitive
444,到雷神山总书记,covid2020,sensitive
445,总书记红十字会亲自,covid2020,sensitive
446,疫情肺炎習近平中央,covid2020,sensitive
447,習近平疫情政府負面,covid2020,sensitive
448,疫情習主席凝聚力,covid2020,sensitive
449,习近平疫情蔓延,covid2020,sensitive
450,习近平武汉委托李克强,covid2020,sensitive
451,肺炎李克强武汉总理北京,covid2020,sensitive
452,武漢肺炎病毒李克強,covid2020,sensitive
453,扒一扒武汉病毒所所长的成功史,covid2020,sensitive
454,地方官疫情中央隱瞞,covid2020,sensitive
455,舉行批評中國兩會期間隱瞞,covid2020,sensitive
456,武漢中共危機北京,covid2020,sensitive
457,共产党肺炎表现统治,covid2020,sensitive
458,疫情红会4政府湖北,covid2020,sensitive
459,中国共产党最大的威胁这个时代,covid2020,sensitive
460,武漢明明病毒人傳人,covid2020,sensitive
461,美国疾控中心冠状病毒,covid2020,sensitive
462,菲律宾总统府感谢中国捐赠菲律宾,covid2020,sensitive
463,全面接管10号疫情不好转解放军,covid2020,sensitive
464,網上教學大力推進,covid2020,sensitive
465,封城部隊,covid2020,sensitive
466,政府做出测序病毒,covid2020,sensitive
467,为辅西医冠状病毒,covid2020,sensitive
468,省委书记通报专家组病毒,covid2020,sensitive
469,断崖式下跌疫情防控,covid2020,sensitive
470,發起罷工五大訴求員工陣線,covid2020,sensitive
471,香港林鄭呼籲病毒,covid2020,sensitive
472,香港港府衞生防護港人,covid2020,sensitive
473,大陸台灣病毒外交部,covid2020,sensitive
474,口罩台灣出口國家,covid2020,sensitive
475,口罩台灣政府中國大陸,covid2020,sensitive
476,澳門政府戴口罩,covid2020,sensitive
477,武漢肺炎疫情失控,covid2020,sensitive
478,死亡病例肺炎死亡人數,covid2020,sensitive
479,武漢感染十幾萬,covid2020,sensitive
480,上海背景药物病毒,covid2020,sensitive
481,毒城武漢,covid2020,sensitive
482,武汉发生人传人病毒,covid2020,sensitive
483,肺炎疾病预防控制病毒医学期刊,covid2020,sensitive
484,有关疾病控制旅行限制病毒,covid2020,sensitive
485,疫情颜色革命李文亮,covid2020,sensitive
486,聲音人傳人李文亮,covid2020,sensitive
487,疫情病毒李文亮中央,covid2020,sensitive
488,冠状病毒人传人李文亮,covid2020,sensitive
489,监察委确诊李文亮,covid2020,sensitive
490,武漢光復,covid2020,sensitive
491,湖北五大诉求,covid2020,sensitive
492,武汉五大诉求,covid2020,sensitive
493,09宪章,gfw,sensitive
494,0投资,gfw,sensitive
495,0风险,gfw,sensitive
496,1215出师表,gfw,sensitive
497,187蚊你都觉得贵,gfw,sensitive
498,1989年春夏之交,gfw,sensitive
499,1989年诺贝尔和平奖,gfw,sensitive
500,1肖,gfw,sensitive
501,20年,gfw,sensitive
502,20年前天安门,gfw,sensitive
503,20周年,gfw,sensitive
504,23宪章,gfw,sensitive
505,24小时上门,gfw,sensitive
506,2的3次方宪章,gfw,sensitive
507,的三次方宪章,gfw,sensitive
508,2肖,gfw,sensitive
509,314=85月12号,gfw,sensitive
510,303名各界人士,gfw,sensitive
511,3d轮盘,gfw,sensitive
512,3唑仑,gfw,sensitive
513,3肖,gfw,sensitive
514,426社论,gfw,sensitive
515,4肖,gfw,sensitive
516,4．26社,gfw,sensitive
517,516社论,gfw,sensitive
518,51刷人气外挂,gfw,sensitive
519,51刷人气精灵,gfw,sensitive
520,51小秘书,gfw,sensitive
521,51网阳光牧场机器人,gfw,sensitive
522,51群回帖赚钱,gfw,sensitive
523,54.8下调到49.3,gfw,sensitive
524,5人被刑拘,gfw,sensitive
525,5星宏辉,gfw,sensitive
526,5星洪辉,gfw,sensitive
527,5星红辉,gfw,sensitive
528,5肖,gfw,sensitive
529,6.4学潮,gfw,sensitive
530,6.4运动,gfw,sensitive
531,610不法之徒,gfw,sensitive
532,610不法人员,gfw,sensitive
533,与公安,gfw,sensitive
534,610公安,gfw,sensitive
535,610办头目,gfw,sensitive
536,610同伙,gfw,sensitive
537,610国保,gfw,sensitive
538,610基地,gfw,sensitive
539,610头子,gfw,sensitive
540,610头目,gfw,sensitive
541,610强化洗脑,gfw,sensitive
542,610强行带,gfw,sensitive
543,610恐怖,gfw,sensitive
544,610恐怖组,gfw,sensitive
545,610恶人,gfw,sensitive
546,610恶徒,gfw,sensitive
547,610恶警,gfw,sensitive
548,610成员,gfw,sensitive
549,610暴力,gfw,sensitive
550,610歹徒,gfw,sensitive
551,610洗脑,gfw,sensitive
552,610狂妄,gfw,sensitive
553,610的恶,gfw,sensitive
554,610的恶棍,gfw,sensitive
555,610的邪恶,gfw,sensitive
556,610直接干的,gfw,sensitive
557,610组织,gfw,sensitive
558,610绑架,gfw,sensitive
559,610亲,gfw,sensitive
560,610请来了已经邪悟的帮教人员,gfw,sensitive
561,610迫害,gfw,sensitive
562,610邪恶,gfw,sensitive
563,非法组织610恐怖机构,gfw,sensitive
564,64之前,gfw,sensitive
565,64之,gfw,sensitive
566,64之役,gfw,sensitive
567,64之后,gfw,sensitive
568,64二十周年,gfw,sensitive
569,64伤残,gfw,sensitive
570,64历史,gfw,sensitive
571,64天安,gfw,sensitive
572,64天安门,gfw,sensitive
573,64尾,gfw,sensitive
574,64屠城,gfw,sensitive
575,64平反,gfw,sensitive
576,64式手枪,gfw,sensitive
577,64手抢,gfw,sensitive
578,64政变,gfw,sensitive
579,64旁见,gfw,sensitive
580,64暴乱,gfw,sensitive
581,64死难,gfw,sensitive
582,64母亲,gfw,sensitive
583,64民运,gfw,sensitive
584,64真像,gfw,sensitive
585,64纪念,gfw,sensitive
586,64血案,gfw,sensitive
587,64血腥,gfw,sensitive
588,64诗集,gfw,sensitive
589,64遇难,gfw,sensitive
590,64风波,gfw,sensitive
591,678庄,gfw,sensitive
592,67式无声手枪,gfw,sensitive
593,69式,gfw,sensitive
594,69试,gfw,sensitive
595,6一4,gfw,sensitive
596,6一一4,gfw,sensitive
597,6四,gfw,sensitive
598,6四事件,gfw,sensitive
599,6四学潮,gfw,sensitive
600,6月4号,gfw,sensitive
601,6月fourth,gfw,sensitive
602,6泗,gfw,sensitive
603,7.20迫害,gfw,sensitive
604,7.5事件,gfw,sensitive
605,75惨案,gfw,sensitive
606,77式,gfw,sensitive
607,77式手枪,gfw,sensitive
608,7·5事件,gfw,sensitive
609,7肖,gfw,sensitive
610,84微型手枪,gfw,sensitive
611,之后,gfw,sensitive
612,89二十周年,gfw,sensitive
613,89天安门,gfw,sensitive
614,89年天安门,gfw,sensitive
615,89纪念,gfw,sensitive
616,8台连线,gfw,sensitive
617,8级地震无预报,gfw,sensitive
618,8肖,gfw,sensitive
619,9.13事件的真,gfw,sensitive
620,9.13事件真凶,gfw,sensitive
621,9.1级大地震,gfw,sensitive
622,91宪章,gfw,sensitive
623,92式9mm手枪,gfw,sensitive
624,97爱,gfw,sensitive
625,97色色,gfw,sensitive
626,98印尼,gfw,sensitive
627,98屠杀,gfw,sensitive
628,99神油,gfw,sensitive
629,9一i,gfw,sensitive
630,9平视频,gfw,sensitive
631,9肖,gfw,sensitive
632,JJ满是伤痕,gfw,sensitive
633,K药无罪,gfw,sensitive
634,O八宪章,gfw,sensitive
635,av女,gfw,sensitive
636,b好痒,gfw,sensitive
637,b嫩,gfw,sensitive
638,b毛全潦倒,gfw,sensitive
639,b痒,gfw,sensitive
640,b穴,gfw,sensitive
641,caoni马,gfw,sensitive
642,cao我,gfw,sensitive
643,cctv不差钱,gfw,sensitive
644,cet4答案,gfw,sensitive
645,cfx弹,gfw,sensitive
646,cfx狗,gfw,sensitive
647,cfx皮碗,gfw,sensitive
648,上升了5.9,gfw,sensitive
649,ct汽车集团,gfw,sensitive
650,ct透视仪,gfw,sensitive
651,cui情用品,gfw,sensitive
652,da法好,gfw,sensitive
653,e光美容,gfw,sensitive
654,e圆传奇系统,gfw,sensitive
655,e夜温情,gfw,sensitive
656,e夜激情,gfw,sensitive
657,e时代兼职网,gfw,sensitive
658,e畅家园,gfw,sensitive
659,e网商务,gfw,sensitive
660,fa3车仑g,gfw,sensitive
661,fa工力,gfw,sensitive
662,fa车仑工,gfw,sensitive
663,gamo密封圈,gfw,sensitive
664,gamo弹簧,gfw,sensitive
665,gamo皮碗,gfw,sensitive
666,gdp是6.1,gfw,sensitive
667,ghb水,gfw,sensitive
668,ghb迷幻液,gfw,sensitive
669,gong.产一谠,gfw,sensitive
670,gong.铲谠,gfw,sensitive
671,gongchan当,gfw,sensitive
672,gongchan挡,gfw,sensitive
673,gongchan档,gfw,sensitive
674,gongchan裆,gfw,sensitive
675,gongchan谠,gfw,sensitive
676,gong惨dang,gfw,sensitive
677,gong惨党,gfw,sensitive
678,gong惨当,gfw,sensitive
679,gong惨挡,gfw,sensitive
680,惨档,gfw,sensitive
681,gong惨裆,gfw,sensitive
682,gong惨谠,gfw,sensitive
683,gong掺dang,gfw,sensitive
684,gong掺党,gfw,sensitive
685,gong掺当,gfw,sensitive
686,gong掺挡,gfw,sensitive
687,gong掺档,gfw,sensitive
688,gong掺裆,gfw,sensitive
689,gong掺,gfw,sensitive
690,gong残dang,gfw,sensitive
691,gong残党,gfw,sensitive
692,gong残当,gfw,sensitive
693,gong残挡,gfw,sensitive
694,gong残档,gfw,sensitive
695,gong残裆,gfw,sensitive
696,gong残谠,gfw,sensitive
697,gong产dang,gfw,sensitive
698,gong产,gfw,sensitive
699,gong产当,gfw,sensitive
700,gong产挡,gfw,sensitive
701,gong产档,gfw,sensitive
702,gong产裆,gfw,sensitive
703,gong产谠,gfw,sensitive
704,gong铲dang,gfw,sensitive
705,gong铲党,gfw,sensitive
706,gong铲当,gfw,sensitive
707,gong铲挡,gfw,sensitive
708,gong铲裆,gfw,sensitive
709,gong铲谠,gfw,sensitive
710,g情图片,gfw,sensitive
711,g情网站,gfw,sensitive
712,g网,gfw,sensitive
713,h1n1防病要诀,gfw,sensitive
714,hd90升级,gfw,sensitive
715,jj搓,gfw,sensitive
716,jj粗,gfw,sensitive
717,j吧,gfw,sensitive
718,j巴,gfw,sensitive
719,j情,gfw,sensitive
720,kb份子,gfw,sensitive
721,kb分子,gfw,sensitive
722,kb气息,gfw,sensitive
723,kb组织,gfw,sensitive
724,king粉,gfw,sensitive
725,ktv公主,gfw,sensitive
726,ktv招聘,gfw,sensitive
727,k粉嗨药我的需,gfw,sensitive
728,liu四,gfw,sensitive
729,liu泗,gfw,sensitive
730,luo聊,gfw,sensitive
731,m2增速,gfw,sensitive
732,maya语,gfw,sensitive
733,mihuen药,gfw,sensitive
734,mi药,gfw,sensitive
735,mi魂药,gfw,sensitive
736,mm上门,gfw,sensitive
737,mm穴,gfw,sensitive
738,mm视,gfw,sensitive
739,m泽东,gfw,sensitive
740,横行霸道,gfw,sensitive
741,qq神,gfw,sensitive
742,sb会,gfw,sensitive
743,shui果,gfw,sensitive
744,sm交友,gfw,sensitive
745,sm图片,gfw,sensitive
746,sm用具,gfw,sensitive
747,sm用品,gfw,sensitive
748,sm电击器,gfw,sensitive
749,tj38朝鲜版,gfw,sensitive
750,tmd政府,gfw,sensitive
751,tui党,gfw,sensitive
752,tui档,gfw,sensitive
753,tui谠,gfw,sensitive
754,vip公主,gfw,sensitive
755,xing爱,gfw,sensitive
756,x伴侣,gfw,sensitive
757,x教组织,gfw,sensitive
758,yin道,gfw,sensitive
759,yin部,gfw,sensitive
760,y户,gfw,sensitive
761,y茎,gfw,sensitive
762,zhong共,gfw,sensitive
763,①肖,gfw,sensitive
764,②肖,gfw,sensitive
765,③肖,gfw,sensitive
766,④肖,gfw,sensitive
767,⑤肖,gfw,sensitive
768,⑥肖,gfw,sensitive
769,⑦肖,gfw,sensitive
770,⑧肖,gfw,sensitive
771,⑨肖,gfw,sensitive
772,⒍4学潮,gfw,sensitive
773,一个大楼过,gfw,sensitive
774,去了,gfw,sensitive
775,一个好官被人民币废了,gfw,sensitive
776,一个好家被情人废了,gfw,sensitive
777,一刀插在那女子的喉部位,gfw,sensitive
778,一切权力属于人民,gfw,sensitive
779,一到床上脱胸罩,gfw,sensitive
780,一剑穿,gfw,sensitive
781,一夜激情,gfw,sensitive
782,一夜爆富,gfw,sensitive
783,一小撮不明真相的群众和广大的党员干部,gfw,sensitive
784,一层蒙一层层层掺水水到渠成,gfw,sensitive
